position,name,title,semantic_type,source_kind,train_missing_fraction,test_missing_fraction,missing_fraction_difference,train_unique_count,train_min,train_max,train_mean,train_std,test_mean,test_std,train_test_standardized_mean_difference,train_test_tvd,train_test_tvd_basis,constant_including_missing,constant_when_present,exact_duplicate_of,codebook_validation_available,codebook_validation_status,codebook_outside_count_train,codebook_outside_fraction_train,unexpected_nonblank_count_train,unexpected_nonblank_fraction_train,unexpected_values_preview,positive_missing_fraction_development,negative_missing_fraction_development,missing_target_gap,positive_mean_development,negative_mean_development,target_standardized_mean_difference,target_tvd,target_tvd_basis,max_supported_positive_rate_lift
1,_STATE,State FIPS Code,categorical,core_survey,0.0,0.0,0.0,53,1.0,72.0,29.973651088728726,16.031752874847626,29.955439343932564,16.045765104329718,0.0011354833045652023,0.00936498877115858,exact_values,False,False,,True,checked,0,0.0,0,0.0,[],0.0,0.0,0.0,30.216609145815358,29.937754880331596,0.01738642953915907,0.09202729174619623,exact_values,0.055453827287124655
2,FMONTH,File Month,categorical,core_survey,0.0,0.0,0.0,12,1.0,12.0,6.360689959925031,3.4872572080057043,6.3528008118560235,3.486280248217296,0.002262595717342368,0.004966911057407063,exact_values,False,False,,True,checked,0,0.0,0,0.0,[],0.0,0.0,0.0,6.468032786885246,6.354484222489638,0.032544333570423065,0.02017277727651804,exact_values,0.007852717351938154
3,IDATE,Interview Date,date,core_survey,0.0,0.0,0.0,>256,1012016.0,12312015.0,6563638.198147104,3489242.3515081434,6559985.567604384,3486577.752008691,0.0010472260528644752,0.011700000000000009,sample_quantile_bins,False,False,,False,not_machine_checkable,0,0.0,0,0.0,[],0.0,0.0,0.0,6652286.372476272,6558115.2728305925,0.027040499941808377,0.02563708217471325,sample_quantile_bins,0.01777813619173678
4,IMONTH,Interview Month,categorical,core_survey,0.0,0.0,0.0,12,1.0,12.0,6.41666082557484,3.4927336701079947,6.4129677543221275,3.489710634541519,0.0010578160728417685,0.004955670102255345,exact_values,False,False,,True,checked,0,0.0,0,0.0,[],0.0,0.0,0.0,6.511949956859362,6.410520290145741,0.029096766191246626,0.014903939832220443,exact_values,0.004658531304415514
5,IDAY,Interview Day,categorical,core_survey,0.0,0.0,0.0,31,1.0,31.0,14.496234781416186,8.334482351952463,14.500278846945026,8.336235132538182,-0.00048516994067580085,0.007390198443764135,exact_values,False,False,,True,checked,0,0.0,0,0.0,[],0.0,0.0,0.0,13.83213977566868,14.557995721353121,-0.0872383483378539,0.039166949598651885,exact_values,0.015363552155982271
6,IYEAR,Interview Year,categorical,core_survey,0.0,0.0,0.0,2,2015.0,2016.0,2015.0247581026101,0.15538706310787098,2015.0248128068458,0.1555542730399948,-0.000351862048812543,5.470423571487561e-05,exact_values,False,False,,True,checked,0,0.0,0,0.0,[],0.0,0.0,0.0,2015.0178602243313,2015.025471319695,-0.05229556580632402,0.007611095363826309,exact_values,0.024707600747950004
7,DISPCODE,Final Disposition,survey_design,core_survey,0.0,0.0,0.0,2,1100.0,1200.0,1115.0148566900818,35.72169855402145,1114.9818520922663,35.689344587875624,0.0009243554771363635,0.00033004597815487757,exact_values,False,False,,True,checked,0,0.0,0,0.0,[],0.0,0.0,0.0,1113.0155306298534,1115.2539610910549,-0.06428580825146588,0.022384304612016334,exact_values,0.01196870372592243
8,SEQNO,Annual Sequence Number,identifier,core_survey,0.0,0.0,0.0,>256,2015000001.0,2015023235.0,2015005197.3278103,4118.376379108641,2015005174.521837,4104.116957397779,0.005547207656937392,0.004649999999999994,sample_quantile_bins,False,False,,False,not_machine_checkable,0,0.0,0,0.0,[],0.0,0.0,0.0,2015004532.6216135,2015005266.8000944,-0.18578152013060678,0.07666352120197696,sample_quantile_bins,0.02427193896729095
9,_PSU,Primary Sampling Unit,identifier,core_survey,0.0,0.0,0.0,>256,2015000001.0,2015023235.0,2015005197.3278103,4118.376379108641,2015005174.521837,4104.116957397779,0.005547207656937392,0.004649999999999994,sample_quantile_bins,False,False,SEQNO,False,not_machine_checkable,0,0.0,0,0.0,[],0.0,0.0,0.0,2015004532.6216135,2015005266.8000944,-0.18578152013060678,0.07666352120197696,sample_quantile_bins,0.02427193896729095
10,CTELENUM,Correct telephone number?,categorical,administrative,0.4248708610785195,0.4213148776273325,0.003555983451187017,2,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.003555983451187017,exact_values,False,True,,True,checked,0,0.0,0,0.0,[],0.2992234685073339,0.4375,0.1382765314926661,1.0,1.0,0.0,0.13827653149266608,exact_values,0.026174914347534314
11,PVTRESD1,Private Residence?,binary,administrative,0.4248708610785195,0.4213148776273325,0.003555983451187017,3,1.0,2.0,1.000169563374311,0.013020546170318987,1.0002053842264913,0.014329760772987912,-0.0026164154604434928,0.0035559834511870174,exact_values,False,False,,True,checked,0,0.0,0,0.0,[],0.2992234685073339,0.4375,0.1382765314926661,1.0003078059591233,1.0001337077149353,0.011719058094818604,0.1382765314926661,exact_values,0.026174914347534314
12,COLGHOUS,Do you live in college housing?,categorical,administrative,0.9999024791625398,0.9998811472037594,2.1331958780401727e-05,2,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.133195878040233e-05,exact_values,False,True,,True,checked,0,0.0,0,0.0,[],0.9997842968075927,0.999924789410349,0.0001404926027562814,1.0,1.0,0.0,0.0001404926027562531,exact_values,1.1311322063126128e-05
13,STATERES,Resident of State,categorical,administrative,0.42487390860469015,0.4213240201501202,0.0035498884545699383,2,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0035498884545698828,exact_values,False,True,,True,checked,0,0.0,0,0.0,[],0.2992234685073339,0.4375,0.1382765314926661,1.0,1.0,0.0,0.13827653149266608,exact_values,0.026174914347534314
14,CELLFON3,Cellular Telephone,binary,administrative,0.4248708610785195,0.4213057351045447,0.003565125973974792,3,1.0,2.0,1.5446322594319628,0.4980039773114242,1.546234418692829,0.4978577894621479,-0.003217633806335447,0.0035651259739747643,exact_values,False,False,,True,checked,0,0.0,0,0.0,[],0.2992234685073339,0.4375,0.1382765314926661,1.5634695887712386,1.5416722378214556,0.043848218178126036,0.1382765314926661,exact_values,0.026174914347534314
15,LADULT,Are you 18 years of age or older?,binary,administrative,0.9999024791625398,0.9998811472037594,2.1331958780401727e-05,3,1.0,2.0,1.65625,0.47495887979908324,1.4615384615384615,0.49851851526214347,0.399915893018648,3.0474871637224837e-05,exact_values,False,False,,True,checked,0,0.0,0,0.0,[],0.9997842968075927,0.999924789410349,0.0001404926027562814,1.4,1.6666666666666667,-0.5547001962252295,0.0001404926027562531,exact_values,1.1311322063126128e-05
