feature_pair,group,fold,rows,positive_rows,negative_rows,false_negative,false_positive,false_negative_rate,false_positive_rate
_AGE80 × BPHIGH4,18-44 | 1: Yes,1,3280,146,3134,110,84,0.7534246575342466,0.026802807913209957
_AGE80 × BPHIGH4,18-44 | 1: Yes,2,3289,151,3138,122,71,0.8079470198675497,0.02262587635436584
_AGE80 × BPHIGH4,18-44 | 1: Yes,3,3395,153,3242,104,98,0.6797385620915033,0.030228254164096236
_AGE80 × BPHIGH4,"18-44 | 2: Yes, but female told only during pregnancy",1,413,7,406,6,0,0.8571428571428571,0.0
_AGE80 × BPHIGH4,"18-44 | 2: Yes, but female told only during pregnancy",2,419,2,417,2,0,1.0,0.0
_AGE80 × BPHIGH4,"18-44 | 2: Yes, but female told only during pregnancy",3,399,6,393,6,0,1.0,0.0
_AGE80 × BPHIGH4,18-44 | 3: No,1,19495,146,19349,143,7,0.9794520547945206,0.00036177580236704737
_AGE80 × BPHIGH4,18-44 | 3: No,2,19290,122,19168,117,13,0.9590163934426229,0.0006782136894824708
_AGE80 × BPHIGH4,18-44 | 3: No,3,19582,130,19452,124,12,0.9538461538461539,0.0006169031462060457
_AGE80 × BPHIGH4,18-44 | 4: Told borderline high or pre-hypertensive,1,170,4,166,3,0,0.75,0.0
_AGE80 × BPHIGH4,18-44 | 4: Told borderline high or pre-hypertensive,2,141,3,138,3,0,1.0,0.0
_AGE80 × BPHIGH4,18-44 | 4: Told borderline high or pre-hypertensive,3,149,4,145,4,0,1.0,0.0
_AGE80 × BPHIGH4,18-44 | 7: Don't know/Not Sure,1,46,0,46,0,0,,0.0
_AGE80 × BPHIGH4,18-44 | 7: Don't know/Not Sure,2,42,1,41,0,0,0.0,0.0
_AGE80 × BPHIGH4,18-44 | 7: Don't know/Not Sure,3,33,1,32,1,0,1.0,0.0
_AGE80 × BPHIGH4,45-54 | 1: Yes,1,4570,476,4094,262,331,0.5504201680672269,0.08085002442598925
_AGE80 × BPHIGH4,45-54 | 1: Yes,2,4674,457,4217,236,359,0.5164113785557987,0.0851316101493953
_AGE80 × BPHIGH4,45-54 | 1: Yes,3,4630,446,4184,234,442,0.5246636771300448,0.10564053537284895
_AGE80 × BPHIGH4,"45-54 | 2: Yes, but female told only during pregnancy",1,98,4,94,4,1,1.0,0.010638297872340425
_AGE80 × BPHIGH4,"45-54 | 2: Yes, but female told only during pregnancy",2,87,3,84,2,0,0.6666666666666666,0.0
_AGE80 × BPHIGH4,"45-54 | 2: Yes, but female told only during pregnancy",3,82,5,77,5,1,1.0,0.012987012987012988
_AGE80 × BPHIGH4,45-54 | 3: No,1,9435,198,9237,167,51,0.8434343434343434,0.005521273140630075
_AGE80 × BPHIGH4,45-54 | 3: No,2,9480,223,9257,191,54,0.8565022421524664,0.005833423355298693
_AGE80 × BPHIGH4,45-54 | 3: No,3,9202,200,9002,166,56,0.83,0.006220839813374806
_AGE80 × BPHIGH4,45-54 | 4: Told borderline high or pre-hypertensive,1,157,9,148,8,4,0.8888888888888888,0.02702702702702703
