feature,group,rows,positive_rows,negative_rows,true_negative,false_positive,false_negative,true_positive,false_negative_rate,false_positive_rate
_AGE80,18-44,70160,876,69284,68999,285,745,131,0.8504566210045662,0.00411350383927025
_AGE80,45-54,42835,2037,40798,39495,1303,1289,748,0.632793323514973,0.0319378400902005
_AGE80,55-64,58814,5012,53802,49784,4018,2686,2326,0.5359138068635275,0.07468123861566485
_AGE80,65+,90699,15255,75444,59215,16229,5699,9556,0.37358243198951163,0.21511319654313132
_BMI5,25-<30,87570,8125,79445,71814,7631,3589,4536,0.44172307692307694,0.09605387374913463
_BMI5,30-<35,43501,4807,38694,34042,4652,1994,2813,0.4148117328895361,0.120225357936631
_BMI5,35+,27595,3302,24293,20827,3466,1303,1999,0.3946093276801938,0.1426748446054419
_BMI5,<25,82187,5634,76553,71486,5067,2774,2860,0.4923677671281505,0.06618943738325082
_BMI5,missing,21655,1312,20343,19324,1019,759,553,0.5785060975609756,0.05009094037260974
PHYSHLTH,0 days,163506,9634,153872,146330,7542,5869,3765,0.6091965953913224,0.04901476551939274
PHYSHLTH,1-13 days,58801,5422,53379,48471,4908,2493,2929,0.4597934341571376,0.09194627100545158
PHYSHLTH,14-29 days,14362,2575,11787,8955,2832,741,1834,0.2877669902912621,0.24026469839653855
PHYSHLTH,30 days,25838,5549,20289,13736,6553,1316,4233,0.2371598486213732,0.32298289713637934
MENTHLTH,0 days,179536,15024,164512,150846,13666,7221,7803,0.48063099041533547,0.08306992802956623
MENTHLTH,1-13 days,52508,3944,48564,44862,3702,1761,2183,0.44650101419878296,0.07622930565851248
MENTHLTH,14-29 days,13124,1586,11538,9936,1602,561,1025,0.3537200504413619,0.13884555382215288
MENTHLTH,30 days,17340,2626,14714,11849,2865,876,1750,0.3335872048743336,0.19471251868968328
BPHIGH4,1: Yes,105481,17182,88299,70177,18122,6360,10822,0.37015481317658017,0.20523448736678784
BPHIGH4,"2: Yes, but female told only during pregnancy",1940,58,1882,1863,19,44,14,0.7586206896551724,0.010095642933049946
BPHIGH4,3: No,151719,5689,146030,142518,3512,3865,1824,0.6793812620847249,0.024049852769978772
BPHIGH4,4: Told borderline high or pre-hypertensive,2611,169,2442,2314,128,115,54,0.6804733727810651,0.05241605241605242
BPHIGH4,7: Don't know/Not Sure,513,73,440,395,45,29,44,0.3972602739726027,0.10227272727272728
BPHIGH4,9: Refused,244,9,235,226,9,6,3,0.6666666666666666,0.03829787234042553
DIABETE3,1: Yes,33872,7464,26408,18081,8327,2058,5406,0.2757234726688103,0.3153211148136928
DIABETE3,2: Documented value (label omitted),2106,90,2016,1972,44,51,39,0.5666666666666667,0.021825396825396824
DIABETE3,3: Documented value (label omitted),221603,14899,206704,193959,12745,8002,6897,0.5370830257064233,0.06165821658023067
DIABETE3,4: Documented value (label omitted),4560,677,3883,3215,668,286,391,0.4224519940915805,0.17203193407159412
DIABETE3,7: Documented value (label omitted),306,44,262,214,48,19,25,0.4318181818181818,0.183206106870229
SMOKE100,1: Yes,109317,13489,95828,81905,13923,5094,8395,0.37764104084809846,0.1452915640522603
SMOKE100,2: Documented value (label omitted),142751,8890,133861,126620,7241,4934,3956,0.5550056242969629,0.05409342526949597
SMOKE100,7: Documented value (label omitted),1072,110,962,854,108,42,68,0.38181818181818183,0.11226611226611227
SMOKE100,9: Documented value (label omitted),872,55,817,770,47,33,22,0.6,0.05752753977968176
SMOKE100,missing,8496,636,7860,7344,516,316,320,0.4968553459119497,0.06564885496183206
GENHLTH,1: Excellent,45464,919,44545,44392,153,806,113,0.8770402611534276,0.0034347289258053653
GENHLTH,2: Very good,86578,3657,82921,81198,1723,2908,749,0.7951873120043752,0.020778813569542094
GENHLTH,3: Good,81536,7531,74005,67331,6674,4139,3392,0.549595007303147,0.09018309573677455
GENHLTH,4: Fair,34676,6662,28014,19601,8413,1947,4715,0.2922545782047433,0.3003141286499607
GENHLTH,5: Poor,13543,4309,9234,4489,4745,580,3729,0.1346019958226967,0.5138618150314057
GENHLTH,7: Don’t know/Not Sure,457,69,388,299,89,23,46,0.3333333333333333,0.22938144329896906
GENHLTH,9: Refused,252,33,219,181,38,16,17,0.48484848484848486,0.1735159817351598
EMPLOY1,1: Employed for wages,107133,3391,103742,102188,1554,2603,788,0.7676201710409909,0.014979468296350561
EMPLOY1,2: Self-employed,21827,1202,20625,19887,738,790,412,0.6572379367720466,0.03578181818181818
EMPLOY1,3: Out of work for 1 year or more,5610,493,5117,4770,347,283,210,0.5740365111561866,0.06781317178034005
EMPLOY1,4: Out of work for less than 1 year,5403,257,5146,5009,137,186,71,0.7237354085603113,0.02662261951029926
EMPLOY1,5: A homemaker,16111,1031,15080,14332,748,608,423,0.5897187196896218,0.04960212201591512
EMPLOY1,6: A student,6928,51,6877,6860,17,46,5,0.9019607843137255,0.002472008143085648
EMPLOY1,7: Retired,78482,12679,65803,52088,13715,4752,7927,0.3747929647448537,0.20842514778961446
