feature,group,rows,positive_rows,negative_rows,boosting_false_negatives,logistic_false_negatives,boosting_false_positives,logistic_false_positives,both_false_negatives,both_false_positives,boosting_only_false_negatives,boosting_only_false_positives,boosting_far_false_negatives,boosting_far_false_positives,boosting_false_negative_rate,logistic_false_negative_rate,boosting_false_positive_rate,logistic_false_positive_rate
_AGE80,18-44,70160,876,69284,745,786,285,227,733,160,12,125,624,118,0.8504566210045662,0.8972602739726028,0.00411350383927025,0.003276369724611743
_AGE80,45-54,42835,2037,40798,1289,1386,1303,1163,1236,926,53,377,891,548,0.632793323514973,0.6804123711340206,0.0319378400902005,0.02850629932839845
_AGE80,55-64,58814,5012,53802,2686,2727,4018,4235,2469,3319,217,699,1560,1784,0.5359138068635275,0.5440941739824421,0.07468123861566485,0.07871454592766068
_AGE80,65+,90699,15255,75444,5699,6081,16229,16322,5097,13507,602,2722,2245,7406,0.37358243198951163,0.39862340216322517,0.21511319654313132,0.2163458989449128
_BMI5,25-<30,87570,8125,79445,3589,3846,7631,7447,3288,6192,301,1439,1794,3492,0.44172307692307694,0.4733538461538462,0.09605387374913463,0.09373780602932846
_BMI5,30-<35,43501,4807,38694,1994,2078,4652,4763,1798,3893,196,759,956,2098,0.4148117328895361,0.4322862492198877,0.120225357936631,0.12309401974466326
_BMI5,35+,27595,3302,24293,1303,1355,3466,3545,1166,2907,137,559,611,1632,0.3946093276801938,0.4103573591762568,0.1426748446054419,0.14592681019223644
_BMI5,<25,82187,5634,76553,2774,2918,5067,5124,2576,4104,198,963,1512,2228,0.4923677671281505,0.5179268725594605,0.06618943738325082,0.06693401956814234
_BMI5,missing,21655,1312,20343,759,783,1019,1068,707,816,52,203,447,406,0.5785060975609756,0.5967987804878049,0.05009094037260974,0.052499631322813746
PHYSHLTH,0 days,163506,9634,153872,5869,6069,7542,7684,5454,5893,415,1649,3271,2697,0.6091965953913224,0.6299564044010795,0.04901476551939274,0.04993761048143912
PHYSHLTH,1-13 days,58801,5422,53379,2493,2683,4908,4877,2297,3998,196,910,1281,2202,0.4597934341571376,0.4948358539284397,0.09194627100545158,0.09136551827497705
PHYSHLTH,14-29 days,14362,2575,11787,741,818,2832,2789,664,2366,77,466,297,1407,0.2877669902912621,0.31766990291262137,0.24026469839653855,0.2366166115211674
PHYSHLTH,30 days,25838,5549,20289,1316,1410,6553,6597,1120,5655,196,898,471,3550,0.2371598486213732,0.25409983780861417,0.32298289713637934,0.32515155995859824
MENTHLTH,0 days,179536,15024,164512,7221,7652,13666,13638,6656,11068,565,2598,3688,5885,0.48063099041533547,0.509318423855165,0.08306992802956623,0.0828997276794398
MENTHLTH,1-13 days,52508,3944,48564,1761,1842,3702,3760,1610,3072,151,630,959,1672,0.44650101419878296,0.4670385395537525,0.07622930565851248,0.07742360596326497
