feature_pair,group,fold,rows,positive_rows,negative_rows,false_negative,false_positive,false_negative_rate,false_positive_rate
_AGE80 × BPHIGH4,18-44 | 1: Yes,1,3280,146,3134,121,57,0.8287671232876712,0.018187619655392468
_AGE80 × BPHIGH4,18-44 | 1: Yes,2,3289,151,3138,122,77,0.8079470198675497,0.024537922243467177
_AGE80 × BPHIGH4,18-44 | 1: Yes,3,3395,153,3242,122,84,0.7973856209150327,0.025909932140653916
_AGE80 × BPHIGH4,"18-44 | 2: Yes, but female told only during pregnancy",1,413,7,406,6,0,0.8571428571428571,0.0
_AGE80 × BPHIGH4,"18-44 | 2: Yes, but female told only during pregnancy",2,419,2,417,2,0,1.0,0.0
_AGE80 × BPHIGH4,"18-44 | 2: Yes, but female told only during pregnancy",3,399,6,393,6,0,1.0,0.0
_AGE80 × BPHIGH4,18-44 | 3: No,1,19495,146,19349,146,1,1.0,5.168225748100677e-05
_AGE80 × BPHIGH4,18-44 | 3: No,2,19290,122,19168,121,4,0.9918032786885246,0.00020868113522537563
_AGE80 × BPHIGH4,18-44 | 3: No,3,19582,130,19452,127,4,0.9769230769230769,0.00020563438206868187
_AGE80 × BPHIGH4,18-44 | 4: Told borderline high or pre-hypertensive,1,170,4,166,4,0,1.0,0.0
_AGE80 × BPHIGH4,18-44 | 4: Told borderline high or pre-hypertensive,2,141,3,138,3,0,1.0,0.0
_AGE80 × BPHIGH4,18-44 | 4: Told borderline high or pre-hypertensive,3,149,4,145,4,0,1.0,0.0
_AGE80 × BPHIGH4,18-44 | 7: Don't know/Not Sure,1,46,0,46,0,0,,0.0
_AGE80 × BPHIGH4,18-44 | 7: Don't know/Not Sure,2,42,1,41,1,0,1.0,0.0
_AGE80 × BPHIGH4,18-44 | 7: Don't know/Not Sure,3,33,1,32,1,0,1.0,0.0
_AGE80 × BPHIGH4,45-54 | 1: Yes,1,4570,476,4094,279,319,0.5861344537815126,0.07791890571568148
_AGE80 × BPHIGH4,45-54 | 1: Yes,2,4674,457,4217,252,369,0.5514223194748359,0.08750296419255395
_AGE80 × BPHIGH4,45-54 | 1: Yes,3,4630,446,4184,255,370,0.5717488789237668,0.08843212237093691
_AGE80 × BPHIGH4,"45-54 | 2: Yes, but female told only during pregnancy",1,98,4,94,4,2,1.0,0.02127659574468085
_AGE80 × BPHIGH4,"45-54 | 2: Yes, but female told only during pregnancy",2,87,3,84,2,0,0.6666666666666666,0.0
_AGE80 × BPHIGH4,"45-54 | 2: Yes, but female told only during pregnancy",3,82,5,77,5,0,1.0,0.0
_AGE80 × BPHIGH4,45-54 | 3: No,1,9435,198,9237,181,28,0.9141414141414141,0.0030312872144635703
_AGE80 × BPHIGH4,45-54 | 3: No,2,9480,223,9257,203,40,0.9103139013452914,0.004321054337258291
_AGE80 × BPHIGH4,45-54 | 3: No,3,9202,200,9002,181,33,0.905,0.003665852032881582
_AGE80 × BPHIGH4,45-54 | 4: Told borderline high or pre-hypertensive,1,157,9,148,9,0,1.0,0.0
_AGE80 × BPHIGH4,45-54 | 4: Told borderline high or pre-hypertensive,2,156,8,148,7,1,0.875,0.006756756756756757
_AGE80 × BPHIGH4,45-54 | 4: Told borderline high or pre-hypertensive,3,153,3,150,3,0,1.0,0.0
_AGE80 × BPHIGH4,55-64 | 1: Yes,1,8994,1247,7747,571,1158,0.4578989574979952,0.14947721698722086
_AGE80 × BPHIGH4,55-64 | 1: Yes,2,8970,1264,7706,582,1238,0.46044303797468356,0.16065403581624707
_AGE80 × BPHIGH4,55-64 | 1: Yes,3,8964,1179,7785,521,1281,0.44189991518235794,0.16454720616570329
_AGE80 × BPHIGH4,"55-64 | 2: Yes, but female told only during pregnancy",1,75,4,71,0,5,0.0,0.07042253521126761
_AGE80 × BPHIGH4,"55-64 | 2: Yes, but female told only during pregnancy",2,86,4,82,4,0,1.0,0.0
_AGE80 × BPHIGH4,"55-64 | 2: Yes, but female told only during pregnancy",3,53,2,51,1,2,0.5,0.0392156862745098
_AGE80 × BPHIGH4,55-64 | 3: No,1,10264,424,9840,326,177,0.7688679245283019,0.01798780487804878
_AGE80 × BPHIGH4,55-64 | 3: No,2,10255,433,9822,361,177,0.8337182448036952,0.01802076970067196
_AGE80 × BPHIGH4,55-64 | 3: No,3,10288,410,9878,327,177,0.7975609756097561,0.017918607005466693
_AGE80 × BPHIGH4,55-64 | 4: Told borderline high or pre-hypertensive,1,239,10,229,9,5,0.9,0.021834061135371178
_AGE80 × BPHIGH4,55-64 | 4: Told borderline high or pre-hypertensive,2,232,11,221,8,5,0.7272727272727273,0.02262443438914027
_AGE80 × BPHIGH4,55-64 | 4: Told borderline high or pre-hypertensive,3,222,10,212,9,4,0.9,0.018867924528301886
_AGE80 × BPHIGH4,65+ | 1: Yes,1,18300,3870,14430,1317,4366,0.34031007751937986,0.30256410256410254
_AGE80 × BPHIGH4,65+ | 1: Yes,2,18233,3864,14369,1225,4595,0.3170289855072464,0.3197856496624678
_AGE80 × BPHIGH4,65+ | 1: Yes,3,18182,3929,14253,1288,4476,0.3278187834054467,0.3140391496527047
_AGE80 × BPHIGH4,"65+ | 2: Yes, but female told only during pregnancy",1,75,5,70,3,5,0.6,0.07142857142857142
_AGE80 × BPHIGH4,"65+ | 2: Yes, but female told only during pregnancy",2,66,9,57,6,5,0.6666666666666666,0.08771929824561403
_AGE80 × BPHIGH4,"65+ | 2: Yes, but female told only during pregnancy",3,87,7,80,4,8,0.5714285714285714,0.1
_AGE80 × BPHIGH4,65+ | 3: No,1,11343,1118,10225,713,884,0.6377459749552773,0.08645476772616137
_AGE80 × BPHIGH4,65+ | 3: No,2,11498,1119,10379,681,969,0.6085790884718498,0.09336159552943443
_AGE80 × BPHIGH4,65+ | 3: No,3,11587,1166,10421,735,893,0.630360205831904,0.08569235198157567
_AGE80 × BPHIGH4,65+ | 4: Told borderline high or pre-hypertensive,1,323,34,289,27,25,0.7941176470588235,0.08650519031141868
_AGE80 × BPHIGH4,65+ | 4: Told borderline high or pre-hypertensive,2,352,27,325,21,33,0.7777777777777778,0.10153846153846154
_AGE80 × BPHIGH4,65+ | 4: Told borderline high or pre-hypertensive,3,317,46,271,32,26,0.6956521739130435,0.0959409594095941
_AGE80 × BPHIGH4,65+ | 7: Don't know/Not Sure,1,82,17,65,9,13,0.5294117647058824,0.2
_AGE80 × BPHIGH4,65+ | 7: Don't know/Not Sure,2,91,20,71,7,7,0.35,0.09859154929577464
_AGE80 × BPHIGH4,65+ | 7: Don't know/Not Sure,3,72,19,53,10,9,0.5263157894736842,0.16981132075471697
BPHIGH4 × GENHLTH,1: Yes | 1: Excellent,1,2824,153,2671,135,38,0.8823529411764706,0.01422688131785848
BPHIGH4 × GENHLTH,1: Yes | 1: Excellent,2,2809,188,2621,160,43,0.851063829787234,0.016405951926745516
BPHIGH4 × GENHLTH,1: Yes | 1: Excellent,3,2803,161,2642,148,24,0.9192546583850931,0.009084027252081756
BPHIGH4 × GENHLTH,1: Yes | 2: Very good,1,9645,776,8869,586,487,0.7551546391752577,0.05491036193482918
BPHIGH4 × GENHLTH,1: Yes | 2: Very good,2,9557,794,8763,587,515,0.739294710327456,0.05876982768458291
BPHIGH4 × GENHLTH,1: Yes | 2: Very good,3,9433,789,8644,597,434,0.7566539923954373,0.05020823692734845
BPHIGH4 × GENHLTH,1: Yes | 3: Good,1,12635,1899,10736,988,1878,0.5202738283307003,0.17492548435171387
BPHIGH4 × GENHLTH,1: Yes | 3: Good,2,12562,1845,10717,903,1914,0.4894308943089431,0.1785947559951479
BPHIGH4 × GENHLTH,1: Yes | 3: Good,3,12715,1819,10896,904,2034,0.49697636063771305,0.1866740088105727
BPHIGH4 × GENHLTH,1: Yes | 4: Fair,1,6996,1749,5247,481,2215,0.27501429388221843,0.422145988183724
BPHIGH4 × GENHLTH,1: Yes | 4: Fair,2,7053,1706,5347,416,2402,0.24384525205158264,0.44922386384888724
BPHIGH4 × GENHLTH,1: Yes | 4: Fair,3,6978,1745,5233,437,2292,0.2504297994269341,0.43798968087139306
BPHIGH4 × GENHLTH,1: Yes | 5: Poor,1,2926,1134,1792,81,1272,0.07142857142857142,0.7098214285714286
BPHIGH4 × GENHLTH,1: Yes | 5: Poor,2,3068,1183,1885,102,1390,0.08622147083685545,0.7374005305039788
BPHIGH4 × GENHLTH,1: Yes | 5: Poor,3,3122,1168,1954,88,1412,0.07534246575342465,0.7226202661207779
BPHIGH4 × GENHLTH,1: Yes | 7: Don’t know/Not Sure,1,72,17,55,9,6,0.5294117647058824,0.10909090909090909
BPHIGH4 × GENHLTH,1: Yes | 7: Don’t know/Not Sure,2,81,12,69,6,12,0.5,0.17391304347826086
BPHIGH4 × GENHLTH,1: Yes | 7: Don’t know/Not Sure,3,83,20,63,9,9,0.45,0.14285714285714285
BPHIGH4 × GENHLTH,1: Yes | 9: Refused,1,46,11,35,8,4,0.7272727272727273,0.11428571428571428
BPHIGH4 × GENHLTH,1: Yes | 9: Refused,2,36,8,28,7,3,0.875,0.10714285714285714
BPHIGH4 × GENHLTH,1: Yes | 9: Refused,3,37,5,32,3,6,0.6,0.1875
BPHIGH4 × GENHLTH,"2: Yes, but female told only during pregnancy | 1: Excellent",1,113,3,110,3,0,1.0,0.0
BPHIGH4 × GENHLTH,"2: Yes, but female told only during pregnancy | 1: Excellent",2,95,1,94,1,0,1.0,0.0
BPHIGH4 × GENHLTH,"2: Yes, but female told only during pregnancy | 1: Excellent",3,114,5,109,5,0,1.0,0.0
BPHIGH4 × GENHLTH,"2: Yes, but female told only during pregnancy | 2: Very good",1,254,1,253,1,0,1.0,0.0
BPHIGH4 × GENHLTH,"2: Yes, but female told only during pregnancy | 2: Very good",2,254,3,251,3,0,1.0,0.0
BPHIGH4 × GENHLTH,"2: Yes, but female told only during pregnancy | 2: Very good",3,207,3,204,3,0,1.0,0.0
BPHIGH4 × GENHLTH,"2: Yes, but female told only during pregnancy | 3: Good",1,206,4,202,3,4,0.75,0.019801980198019802
BPHIGH4 × GENHLTH,"2: Yes, but female told only during pregnancy | 3: Good",2,225,6,219,5,1,0.8333333333333334,0.0045662100456621
BPHIGH4 × GENHLTH,"2: Yes, but female told only during pregnancy | 3: Good",3,220,9,211,7,3,0.7777777777777778,0.014218009478672985
BPHIGH4 × GENHLTH,"2: Yes, but female told only during pregnancy | 4: Fair",1,71,8,63,4,2,0.5,0.031746031746031744
BPHIGH4 × GENHLTH,"2: Yes, but female told only during pregnancy | 4: Fair",2,69,4,65,4,2,1.0,0.03076923076923077
BPHIGH4 × GENHLTH,"2: Yes, but female told only during pregnancy | 4: Fair",3,65,1,64,1,3,1.0,0.046875
BPHIGH4 × GENHLTH,3: No | 1: Excellent,1,12257,135,12122,133,3,0.9851851851851852,0.0002474839135456195
BPHIGH4 × GENHLTH,3: No | 1: Excellent,2,12013,122,11891,118,13,0.9672131147540983,0.0010932638129677907
BPHIGH4 × GENHLTH,3: No | 1: Excellent,3,11981,130,11851,128,7,0.9846153846153847,0.0005906674542232723
BPHIGH4 × GENHLTH,3: No | 2: Very good,1,18491,406,18085,391,75,0.9630541871921182,0.004147083218136578
BPHIGH4 × GENHLTH,3: No | 2: Very good,2,18759,438,18321,409,77,0.9337899543378996,0.0042028273565853395
BPHIGH4 × GENHLTH,3: No | 2: Very good,3,18756,400,18356,375,71,0.9375,0.0038679450860753975
BPHIGH4 × GENHLTH,3: No | 3: Good,1,13954,624,13330,485,309,0.7772435897435898,0.0231807951987997
BPHIGH4 × GENHLTH,3: No | 3: Good,2,13894,608,13286,483,324,0.7944078947368421,0.024386572331777812
BPHIGH4 × GENHLTH,3: No | 3: Good,3,14036,642,13394,508,280,0.7912772585669782,0.020904882783335823
BPHIGH4 × GENHLTH,3: No | 4: Fair,1,4371,475,3896,272,407,0.5726315789473684,0.10446611909650924
BPHIGH4 × GENHLTH,3: No | 4: Fair,2,4298,458,3840,262,394,0.5720524017467249,0.10260416666666666
BPHIGH4 × GENHLTH,3: No | 4: Fair,3,4344,447,3897,256,427,0.5727069351230425,0.10957146522966385
BPHIGH4 × GENHLTH,3: No | 5: Poor,1,1365,242,1123,82,296,0.33884297520661155,0.26357969723953695
BPHIGH4 × GENHLTH,3: No | 5: Poor,2,1445,260,1185,83,381,0.3192307692307692,0.32151898734177214
BPHIGH4 × GENHLTH,3: No | 5: Poor,3,1425,277,1148,95,320,0.34296028880866425,0.2787456445993031
BPHIGH4 × GENHLTH,3: No | 7: Don’t know/Not Sure,1,62,4,58,3,0,0.75,0.0
BPHIGH4 × GENHLTH,3: No | 7: Don’t know/Not Sure,2,72,7,65,7,1,1.0,0.015384615384615385
BPHIGH4 × GENHLTH,3: No | 7: Don’t know/Not Sure,3,69,5,64,4,2,0.8,0.03125
BPHIGH4 × GENHLTH,3: No | 9: Refused,1,35,0,35,0,0,,0.0
BPHIGH4 × GENHLTH,3: No | 9: Refused,2,42,4,38,4,0,1.0,0.0
BPHIGH4 × GENHLTH,3: No | 9: Refused,3,48,5,43,4,0,0.8,0.0
BPHIGH4 × GENHLTH,4: Told borderline high or pre-hypertensive | 1: Excellent,1,125,6,119,6,0,1.0,0.0
BPHIGH4 × GENHLTH,4: Told borderline high or pre-hypertensive | 1: Excellent,2,131,3,128,3,0,1.0,0.0
BPHIGH4 × GENHLTH,4: Told borderline high or pre-hypertensive | 1: Excellent,3,106,7,99,7,0,1.0,0.0
BPHIGH4 × GENHLTH,4: Told borderline high or pre-hypertensive | 2: Very good,1,337,9,328,7,1,0.7777777777777778,0.003048780487804878
BPHIGH4 × GENHLTH,4: Told borderline high or pre-hypertensive | 2: Very good,2,345,12,333,11,2,0.9166666666666666,0.006006006006006006
BPHIGH4 × GENHLTH,4: Told borderline high or pre-hypertensive | 2: Very good,3,335,13,322,13,5,1.0,0.015527950310559006
BPHIGH4 × GENHLTH,4: Told borderline high or pre-hypertensive | 3: Good,1,291,17,274,15,7,0.8823529411764706,0.025547445255474453
BPHIGH4 × GENHLTH,4: Told borderline high or pre-hypertensive | 3: Good,2,274,16,258,14,13,0.875,0.050387596899224806
BPHIGH4 × GENHLTH,4: Told borderline high or pre-hypertensive | 3: Good,3,273,20,253,15,7,0.75,0.02766798418972332
BPHIGH4 × GENHLTH,4: Told borderline high or pre-hypertensive | 4: Fair,1,102,19,83,17,13,0.8947368421052632,0.1566265060240964
BPHIGH4 × GENHLTH,4: Told borderline high or pre-hypertensive | 4: Fair,2,96,10,86,6,15,0.6,0.1744186046511628
BPHIGH4 × GENHLTH,4: Told borderline high or pre-hypertensive | 4: Fair,3,96,15,81,8,9,0.5333333333333333,0.1111111111111111
BPHIGH4 × GENHLTH,7: Don't know/Not Sure | 2: Very good,1,42,5,37,5,0,1.0,0.0
BPHIGH4 × GENHLTH,7: Don't know/Not Sure | 2: Very good,2,51,2,49,2,0,1.0,0.0
BPHIGH4 × GENHLTH,7: Don't know/Not Sure | 2: Very good,3,34,5,29,4,0,0.8,0.0
BPHIGH4 × GENHLTH,7: Don't know/Not Sure | 3: Good,1,60,7,53,3,5,0.42857142857142855,0.09433962264150944
BPHIGH4 × GENHLTH,7: Don't know/Not Sure | 3: Good,2,65,5,60,3,2,0.6,0.03333333333333333
