feature,group,rows,positive_rows,negative_rows,true_negative,false_positive,false_negative,true_positive,false_negative_rate,false_positive_rate
_AGE80,18-44,70160,876,69284,69057,227,786,90,0.8972602739726028,0.003276369724611743
_AGE80,45-54,42835,2037,40798,39635,1163,1386,651,0.6804123711340206,0.02850629932839845
_AGE80,55-64,58814,5012,53802,49567,4235,2727,2285,0.5440941739824421,0.07871454592766068
_AGE80,65+,90699,15255,75444,59122,16322,6081,9174,0.39862340216322517,0.2163458989449128
_BMI5,25-<30,87570,8125,79445,71998,7447,3846,4279,0.4733538461538462,0.09373780602932846
_BMI5,30-<35,43501,4807,38694,33931,4763,2078,2729,0.4322862492198877,0.12309401974466326
_BMI5,35+,27595,3302,24293,20748,3545,1355,1947,0.4103573591762568,0.14592681019223644
_BMI5,<25,82187,5634,76553,71429,5124,2918,2716,0.5179268725594605,0.06693401956814234
_BMI5,missing,21655,1312,20343,19275,1068,783,529,0.5967987804878049,0.052499631322813746
PHYSHLTH,0 days,163506,9634,153872,146188,7684,6069,3565,0.6299564044010795,0.04993761048143912
PHYSHLTH,1-13 days,58801,5422,53379,48502,4877,2683,2739,0.4948358539284397,0.09136551827497705
PHYSHLTH,14-29 days,14362,2575,11787,8998,2789,818,1757,0.31766990291262137,0.2366166115211674
PHYSHLTH,30 days,25838,5549,20289,13692,6597,1410,4139,0.25409983780861417,0.32515155995859824
MENTHLTH,0 days,179536,15024,164512,150874,13638,7652,7372,0.509318423855165,0.0828997276794398
MENTHLTH,1-13 days,52508,3944,48564,44804,3760,1842,2102,0.4670385395537525,0.07742360596326497
MENTHLTH,14-29 days,13124,1586,11538,9911,1627,595,991,0.3751576292559899,0.14101230715895302
MENTHLTH,30 days,17340,2626,14714,11792,2922,891,1735,0.3392993145468393,0.19858638031806441
BPHIGH4,1: Yes,105481,17182,88299,69909,18390,6655,10527,0.3873239436619718,0.20826962932762547
BPHIGH4,"2: Yes, but female told only during pregnancy",1940,58,1882,1855,27,43,15,0.7413793103448276,0.014346439957492029
BPHIGH4,3: No,151719,5689,146030,142643,3387,4102,1587,0.72104060467569,0.02319386427446415
BPHIGH4,4: Told borderline high or pre-hypertensive,2611,169,2442,2343,99,136,33,0.8047337278106509,0.04054054054054054
BPHIGH4,7: Don't know/Not Sure,513,73,440,404,36,37,36,0.5068493150684932,0.08181818181818182
BPHIGH4,9: Refused,244,9,235,227,8,7,2,0.7777777777777778,0.03404255319148936
