feature,semantic_type,basis,value_or_bin,development_count,positive_count,negative_count,positive_rate,development_share
_STATE,categorical,exact_values,1,4646,512,4134,0.11020232458028412,0.017698508235939475
_STATE,categorical,exact_values,2,2186,138,2048,0.06312900274473925,0.008327365261249182
_STATE,categorical,exact_values,4,4718,452,4266,0.09580330648579907,0.017972785591296267
_STATE,categorical,exact_values,5,3179,457,2722,0.1437558980811576,0.012110107120544897
_STATE,categorical,exact_values,6,7458,421,7037,0.05644945025475999,0.028410562725707408
_STATE,categorical,exact_values,8,8106,527,7579,0.06501357019491734,0.03087905892391851
_STATE,categorical,exact_values,9,7139,569,6570,0.07970303964140636,0.0271953616651683
_STATE,categorical,exact_values,10,2360,240,2120,0.1016949152542373,0.00899020220336142
_STATE,categorical,exact_values,11,2409,167,2242,0.0693233706932337,0.00917686318131257
_STATE,categorical,exact_values,12,5799,599,5200,0.10329367132264183,0.022090755329361392
_STATE,categorical,exact_values,13,2791,285,2506,0.10211393765675385,0.010632056927788867
_STATE,categorical,exact_values,15,4232,254,3978,0.06001890359168242,0.016121413442637938
_STATE,categorical,exact_values,16,3410,245,3165,0.0718475073313783,0.012990080302314596
_STATE,categorical,exact_values,17,3136,270,2866,0.08609693877551021,0.011946302588873482
_STATE,categorical,exact_values,18,3570,391,3179,0.10952380952380952,0.013599585536440794
_STATE,categorical,exact_values,19,3697,300,3397,0.08114687584527995,0.014083380316028463
_STATE,categorical,exact_values,20,13884,1179,12705,0.08491789109766638,0.052889816691300835
_STATE,categorical,exact_values,21,5225,642,4583,0.12287081339712919,0.019904155301933655
_STATE,categorical,exact_values,22,2853,332,2521,0.11636873466526464,0.010868240206012769
_STATE,categorical,exact_values,23,5467,512,4955,0.09365282604719224,0.02082603196854953
_STATE,categorical,exact_values,24,7503,693,6810,0.09236305477808876,0.0285819860728054
_STATE,categorical,exact_values,25,5466,389,5077,0.07116721551408708,0.02082222256083624
_STATE,categorical,exact_values,26,5278,465,4813,0.088101553618795,0.02010605391073796
_STATE,categorical,exact_values,27,10075,671,9404,0.06660049627791563,0.038379782711384036
_STATE,categorical,exact_values,28,3556,416,3140,0.11698537682789652,0.013546253828454752
_STATE,categorical,exact_values,29,4394,458,3936,0.10423304506144743,0.016738537492190713
_STATE,categorical,exact_values,30,3614,305,3309,0.08439402324294411,0.013767199475825498
_STATE,categorical,exact_values,31,10386,888,9498,0.0854997111496245,0.03956450851021683
_STATE,categorical,exact_values,32,1751,162,1589,0.09251856082238721,0.00667027290596858
_STATE,categorical,exact_values,33,4204,389,3815,0.09253092293054234,0.016014750026665855
_STATE,categorical,exact_values,34,6740,504,6236,0.07477744807121661,0.025675407987566092
_STATE,categorical,exact_values,35,4014,340,3674,0.08470353761833582,0.015290962561140993
_STATE,categorical,exact_values,36,7372,574,6798,0.07786218122626153,0.028082953662364577
_STATE,categorical,exact_values,37,4016,348,3668,0.08665338645418327,0.01529858137656757
_STATE,categorical,exact_values,38,2980,258,2722,0.08657718120805369,0.011352034985600438
_STATE,categorical,exact_values,39,7080,784,6296,0.11073446327683616,0.026970606610084265
_STATE,categorical,exact_values,40,4124,515,3609,0.12487875848690591,0.015709997409602754
_STATE,categorical,exact_values,41,3215,268,2947,0.0833592534992224,0.012247245798223292
_STATE,categorical,exact_values,42,3370,298,3072,0.0884272997032641,0.012837703993783046
_STATE,categorical,exact_values,44,3677,292,3385,0.07941256459069894,0.01400719216176269
_STATE,categorical,exact_values,45,6856,696,6160,0.10151691948658109,0.026117299282307587
_STATE,categorical,exact_values,46,4300,459,3841,0.10674418604651163,0.01638045316714157
_STATE,categorical,exact_values,47,3477,413,3064,0.1187805579522577,0.013245310619104942
_STATE,categorical,exact_values,48,8722,835,7887,0.09573492318275625,0.033225654075304374
_STATE,categorical,exact_values,49,6717,358,6359,0.053297603096620516,0.025587791610160452
_STATE,categorical,exact_values,50,3916,291,3625,0.07431052093973442,0.014917640605238697
_STATE,categorical,exact_values,51,5145,397,4748,0.0771622934888241,0.019599402684870558
_STATE,categorical,exact_values,53,9601,768,8833,0.07999166753463181,0.03657412345528517
_STATE,categorical,exact_values,54,3522,459,3063,0.1303236797274276,0.013416733966202935
_STATE,categorical,exact_values,55,3621,278,3343,0.0767743717205192,0.01379386532981852
_STATE,categorical,exact_values,56,3315,319,2996,0.0962292609351433,0.012628186569552165
_STATE,categorical,exact_values,66,962,53,909,0.0550935550935551,0.003664650220183766
_STATE,categorical,exact_values,72,3274,345,2929,0.10537568723274282,0.012472000853307328
FMONTH,categorical,exact_values,1,26343,2211,24132,0.08393121512356223,0.10035122739116523
FMONTH,categorical,exact_values,2,22041,1889,20152,0.08570391543033437,0.08396315540859707
FMONTH,categorical,exact_values,3,20700,1800,18900,0.08695652173913043,0.07885473966507688
FMONTH,categorical,exact_values,4,24103,2045,22058,0.08484421026428246,0.09181815411339844
FMONTH,categorical,exact_values,5,19932,1753,18179,0.08794902669074854,0.07592911454127112
FMONTH,categorical,exact_values,6,19751,1770,17981,0.08961571565996658,0.07523961174516586
FMONTH,categorical,exact_values,7,24628,2145,22483,0.08709598830599317,0.09381809316287504
FMONTH,categorical,exact_values,8,19663,1815,17848,0.09230534506433404,0.07490438386639646
FMONTH,categorical,exact_values,9,19883,1801,18082,0.09057989237036665,0.07574245356331998
FMONTH,categorical,exact_values,10,25084,2109,22975,0.0840774996013395,0.0955551830801347
FMONTH,categorical,exact_values,11,20415,1963,18452,0.0961547881459711,0.07776905846678958
FMONTH,categorical,exact_values,12,19965,1879,18086,0.09411470072627097,0.07605482499580965
IDATE,date,sample_quantile_bins,"[-inf, 2.05202e+06]",1681,148,1533,0.08804283164782867,0.10469606377678127
IDATE,date,sample_quantile_bins,"[2.05202e+06, 3.07202e+06]",1579,137,1442,0.08676377454084863,0.09834329845540608
IDATE,date,sample_quantile_bins,"[3.07202e+06, 4.10202e+06]",1571,154,1417,0.098026734563972,0.09784504235176882
IDATE,date,sample_quantile_bins,"[4.10202e+06, 5.18202e+06]",1634,151,1483,0.09241126070991432,0.10176880916791231
IDATE,date,sample_quantile_bins,"[5.18202e+06, 6.26202e+06]",1581,142,1439,0.08981657179000632,0.0984678624813154
IDATE,date,sample_quantile_bins,"[6.26202e+06, 8.04202e+06]",1663,158,1505,0.09500901984365605,0.10357498754359741
IDATE,date,sample_quantile_bins,"[8.04202e+06, 9.12202e+06]",1546,164,1382,0.10608020698576973,0.09628799202790234
IDATE,date,sample_quantile_bins,"[9.12202e+06, 1.0212e+07]",1654,149,1505,0.09008464328899637,0.10301444942700548
IDATE,date,sample_quantile_bins,"[1.0212e+07, 1.1212e+07]",1589,153,1436,0.09628697293895531,0.09896611858495266
IDATE,date,sample_quantile_bins,"[1.1212e+07, inf]",1558,149,1409,0.09563543003851091,0.09703537618335825
IMONTH,categorical,exact_values,1,22297,1865,20432,0.08364353948961743,0.084938363783199
IMONTH,categorical,exact_values,2,23404,1980,21424,0.08460092291915912,0.08915537812180963
IMONTH,categorical,exact_values,3,25055,2146,22909,0.08565156655358212,0.09544471025644932
IMONTH,categorical,exact_values,4,21222,1851,19371,0.0872208085948544,0.0808432504914136
IMONTH,categorical,exact_values,5,20449,1823,18626,0.0891486136241381,0.0778985783290414
IMONTH,categorical,exact_values,6,21609,1873,19736,0.08667684760979222,0.08231749127645634
IMONTH,categorical,exact_values,7,22023,1989,20034,0.09031467102574581,0.08389458606975787
IMONTH,categorical,exact_values,8,21555,1961,19594,0.09097657156112271,0.08211178325993874
IMONTH,categorical,exact_values,9,18382,1688,16694,0.09182896311609183,0.07002453258567358
IMONTH,categorical,exact_values,10,21264,1906,19358,0.08963506395786305,0.08100324561537173
IMONTH,categorical,exact_values,11,23548,2112,21436,0.08968914557499576,0.0897039328325232
IMONTH,categorical,exact_values,12,21700,1986,19714,0.09152073732718893,0.08266414737836561
IDAY,categorical,exact_values,1,7489,734,6755,0.09801041527573776,0.02852865436481936
IDAY,categorical,exact_values,2,9651,980,8671,0.10154388146306083,0.03676459384094961
IDAY,categorical,exact_values,3,9875,1023,8852,0.10359493670886076,0.037617901168726285
IDAY,categorical,exact_values,4,9702,967,8735,0.09967017109874253,0.03695887363432734
IDAY,categorical,exact_values,5,8977,835,8142,0.09301548401470425,0.034197053042193
IDAY,categorical,exact_values,6,9656,969,8687,0.10035211267605634,0.03678364087951605
IDAY,categorical,exact_values,7,10195,974,9221,0.09553702795487984,0.03883691163697868
IDAY,categorical,exact_values,8,10413,952,9461,0.09142418131182176,0.03966736251847563
IDAY,categorical,exact_values,9,11047,997,10050,0.09025074680908844,0.04208252700870069
IDAY,categorical,exact_values,10,9948,903,9045,0.09077201447527142,0.03789598793179636
IDAY,categorical,exact_values,11,10124,878,9246,0.08672461477676807,0.038566443689335185
IDAY,categorical,exact_values,12,10122,922,9200,0.09108871764473424,0.038558824873908604
IDAY,categorical,exact_values,13,9877,841,9036,0.08514731193682293,0.037625519984152866
IDAY,categorical,exact_values,14,10143,907,9236,0.08942127575667948,0.03863882243588767
IDAY,categorical,exact_values,15,9489,852,8637,0.08978817578248498,0.03614746979139683
IDAY,categorical,exact_values,16,9601,849,8752,0.088428288719925,0.03657412345528517
IDAY,categorical,exact_values,17,8938,773,8165,0.0864846721861714,0.03404848614137474
IDAY,categorical,exact_values,18,8804,703,8101,0.07985006815084053,0.03353802550779405
IDAY,categorical,exact_values,19,8406,715,7691,0.08505829169640733,0.03202188123790513
IDAY,categorical,exact_values,20,8474,723,7751,0.08531980174651876,0.03228092096240876
IDAY,categorical,exact_values,21,8765,691,8074,0.07883628066172275,0.033389458606975786
IDAY,categorical,exact_values,22,8341,671,7670,0.08044598968948567,0.03177426973654136
IDAY,categorical,exact_values,23,7976,639,7337,0.08011534603811435,0.030383835921190972
IDAY,categorical,exact_values,24,6817,555,6262,0.08141411177937509,0.025968732381489328
IDAY,categorical,exact_values,25,6158,487,5671,0.07908411822020137,0.023458332698432047
IDAY,categorical,exact_values,26,6197,452,5745,0.07293851863805068,0.02360689959925031
IDAY,categorical,exact_values,27,6358,541,5817,0.08508965083359547,0.024220214241089794
IDAY,categorical,exact_values,28,6583,505,6078,0.07671274494911134,0.02507733097657976
IDAY,categorical,exact_values,29,5763,439,5324,0.07617560298455665,0.021953616651682998
IDAY,categorical,exact_values,30,5647,473,5174,0.08376128918009562,0.021511725356941503
IDAY,categorical,exact_values,31,2972,230,2742,0.07738896366083446,0.011321559723894129
IYEAR,categorical,exact_values,2015,255998,22766,233232,0.08893038226861147,0.9752007557864903
IYEAR,categorical,exact_values,2016,6510,414,6096,0.06359447004608294,0.024799244213509684
DISPCODE,survey_design,exact_values,1100,222984,20163,202821,0.09042352814551717,0.8494369695399759
DISPCODE,survey_design,exact_values,1200,39524,3017,36507,0.07633336706811052,0.1505630304600241
SEQNO,identifier,sample_quantile_bins,"[-inf, 2.015e+09]",1746,177,1569,0.1013745704467354,0.10874439461883408
SEQNO,identifier,sample_quantile_bins,"[2.015e+09, 2.015e+09]",6356,687,5669,0.10808684707363121,0.39586447433981065
SEQNO,identifier,sample_quantile_bins,"[2.015e+09, 2.01501e+09]",1531,131,1400,0.08556499020248204,0.09535376183358246
SEQNO,identifier,sample_quantile_bins,"[2.01501e+09, 2.01501e+09]",4830,408,4422,0.084472049689441,0.3008221225710015
SEQNO,identifier,sample_quantile_bins,"[2.01501e+09, inf]",1593,102,1491,0.064030131826742,0.0992152466367713
_PSU,identifier,sample_quantile_bins,"[-inf, 2.015e+09]",1746,177,1569,0.1013745704467354,0.10874439461883408
_PSU,identifier,sample_quantile_bins,"[2.015e+09, 2.015e+09]",6356,687,5669,0.10808684707363121,0.39586447433981065
_PSU,identifier,sample_quantile_bins,"[2.015e+09, 2.01501e+09]",1531,131,1400,0.08556499020248204,0.09535376183358246
_PSU,identifier,sample_quantile_bins,"[2.01501e+09, 2.01501e+09]",4830,408,4422,0.084472049689441,0.3008221225710015
_PSU,identifier,sample_quantile_bins,"[2.01501e+09, inf]",1593,102,1491,0.064030131826742,0.0992152466367713
CTELENUM,categorical,exact_values,1,150866,16244,134622,0.10767170866861983,0.5747101040730187
CTELENUM,categorical,exact_values,<MISSING>,111642,6936,104706,0.06212715644649863,0.4252898959269813
PVTRESD1,binary,exact_values,1,150843,16239,134604,0.10765497901791929,0.5746224876956131
PVTRESD1,binary,exact_values,2,23,5,18,0.21739130434782608,8.761637740564097e-05
PVTRESD1,binary,exact_values,<MISSING>,111642,6936,104706,0.06212715644649863,0.4252898959269813
COLGHOUS,categorical,exact_values,1,23,5,18,0.21739130434782608,8.761637740564097e-05
COLGHOUS,categorical,exact_values,<MISSING>,262485,23175,239310,0.08829075947196982,0.9999123836225944
STATERES,categorical,exact_values,1,150866,16244,134622,0.10767170866861983,0.5747101040730187
STATERES,categorical,exact_values,<MISSING>,111642,6936,104706,0.06212715644649863,0.4252898959269813
CELLFON3,binary,exact_values,1,68792,7091,61701,0.10307884637748575,0.26205677541255884
CELLFON3,binary,exact_values,2,82074,9153,72921,0.11152131003728342,0.31265332866045986
CELLFON3,binary,exact_values,<MISSING>,111642,6936,104706,0.06212715644649863,0.4252898959269813
LADULT,binary,exact_values,1,9,3,6,0.3333333333333333,3.4284669419598644e-05
LADULT,binary,exact_values,2,14,2,12,0.14285714285714285,5.333170798604233e-05
LADULT,binary,exact_values,<MISSING>,262485,23175,239310,0.08829075947196982,0.9999123836225944
NUMADULT,count,exact_values,1,56777,7554,49223,0.133046832344083,0.21628674173739468
NUMADULT,count,exact_values,2,75679,7323,68356,0.09676396358302831,0.2882921663339784
NUMADULT,count,exact_values,3,12913,992,11921,0.07682180748083327,0.04919088180169747
NUMADULT,count,exact_values,4,4199,287,3912,0.06834960704929745,0.015995702988099412
NUMADULT,count,exact_values,5,959,66,893,0.06882168925964546,0.0036532219970438996
NUMADULT,count,exact_values,6,234,11,223,0.04700854700854701,0.0008914014049095646
NUMADULT,count,exact_values,7,53,5,48,0.09433962264150944,0.0002018986088043031
NUMADULT,count,exact_values,8,16,0,16,0.0,6.09505234126198e-05
NUMADULT,count,exact_values,9,5,0,5,0.0,1.9047038566443688e-05
NUMADULT,count,exact_values,10,11,1,10,0.09090909090909091,4.1903484846176115e-05
NUMADULT,count,exact_values,11,1,0,1,0.0,3.8094077132887377e-06
NUMADULT,count,exact_values,14,3,1,2,0.3333333333333333,1.1428223139866213e-05
NUMADULT,count,exact_values,20,1,1,0,1.0,3.8094077132887377e-06
NUMADULT,count,exact_values,<MISSING>,111657,6939,104718,0.0621456782825976,0.4253470370426806
NUMMEN,count,exact_values,0,44178,5055,39123,0.11442346869482548,0.16829201395766985
NUMMEN,count,exact_values,1,94553,10199,84354,0.10786542997049274,0.36019092751459003
NUMMEN,count,exact_values,2,10220,860,9360,0.08414872798434442,0.0389321468298109
NUMMEN,count,exact_values,3,1568,105,1463,0.06696428571428571,0.005973151294436741
NUMMEN,count,exact_values,4,213,14,199,0.06572769953051644,0.0008114038429305012
NUMMEN,count,exact_values,5,29,3,26,0.10344827586206896,0.0001104728236853734
NUMMEN,count,exact_values,6,7,0,7,0.0,2.6665853993021166e-05
NUMMEN,count,exact_values,7,4,1,3,0.25,1.523763085315495e-05
NUMMEN,count,exact_values,8,1,0,1,0.0,3.8094077132887377e-06
NUMMEN,count,exact_values,9,3,0,3,0.0,1.1428223139866213e-05
NUMMEN,count,exact_values,10,2,1,1,0.5,7.618815426577475e-06
NUMMEN,count,exact_values,<MISSING>,111730,6942,104788,0.06213192517676542,0.4256251238057507
NUMWOMEN,count,exact_values,0,18398,3107,15291,0.16887705185346233,0.0700854831090862
NUMWOMEN,count,exact_values,1,117630,11978,105652,0.10182776502592876,0.44810062931415423
NUMWOMEN,count,exact_values,2,12670,1007,11663,0.07947908445146014,0.04826519572736831
NUMWOMEN,count,exact_values,3,1785,123,1662,0.06890756302521009,0.006799792768220397
NUMWOMEN,count,exact_values,4,243,18,225,0.07407407407407407,0.0009256860743291633
NUMWOMEN,count,exact_values,5,34,1,33,0.029411764705882353,0.0001295198622518171
NUMWOMEN,count,exact_values,6,13,1,12,0.07692307692307693,4.952230027275359e-05
NUMWOMEN,count,exact_values,7,1,1,0,1.0,3.8094077132887377e-06
NUMWOMEN,count,exact_values,8,1,0,1,0.0,3.8094077132887377e-06
NUMWOMEN,count,exact_values,9,1,0,1,0.0,3.8094077132887377e-06
NUMWOMEN,count,exact_values,10,2,2,0,1.0,7.618815426577475e-06
NUMWOMEN,count,exact_values,<MISSING>,111730,6942,104788,0.06213192517676542,0.4256251238057507
CTELNUM1,categorical,exact_values,1,111642,6936,104706,0.06212715644649863,0.4252898959269813
CTELNUM1,categorical,exact_values,<MISSING>,150866,16244,134622,0.10767170866861983,0.5747101040730187
CELLFON2,binary,exact_values,1,111642,6936,104706,0.06212715644649863,0.4252898959269813
CELLFON2,binary,exact_values,<MISSING>,150866,16244,134622,0.10767170866861983,0.5747101040730187
CADULT,binary,exact_values,1,55503,4297,51206,0.07741923859971533,0.21143355631066482
CADULT,binary,exact_values,2,56138,2639,53499,0.047009156008407854,0.21385253020860318
CADULT,binary,exact_values,<MISSING>,150867,16244,134623,0.10767099498233544,0.574713913480732
PVTRESD2,binary,exact_values,1,110998,6931,104067,0.062442566532730316,0.42283663735962335
PVTRESD2,binary,exact_values,2,644,5,639,0.007763975155279503,0.0024532585673579473
PVTRESD2,binary,exact_values,<MISSING>,150866,16244,134622,0.10767170866861983,0.5747101040730187
CCLGHOUS,categorical,exact_values,1,643,5,638,0.007776049766718507,0.0024494491596446584
CCLGHOUS,categorical,exact_values,<MISSING>,261865,23175,238690,0.08849979951501728,0.9975505508403554
CSTATE,binary,exact_values,1,104140,6627,97513,0.06363549068561551,0.39671171926188914
CSTATE,binary,exact_values,2,7503,309,7194,0.04118352658936426,0.0285819860728054
CSTATE,binary,exact_values,<MISSING>,150865,16244,134621,0.10767242236436549,0.5747062946653054
LANDLINE,binary,exact_values,1,41929,3168,38761,0.07555629755062129,0.1597246560104835
LANDLINE,binary,exact_values,2,69055,3738,65317,0.05413076533198175,0.2630586496411538
LANDLINE,binary,exact_values,7,95,10,85,0.10526315789473684,0.0003618937327624301
LANDLINE,binary,exact_values,9,105,2,103,0.01904761904761905,0.00039998780989531745
LANDLINE,binary,exact_values,<MISSING>,151324,16262,135062,0.10746477756337396,0.576454812805705
HHADULT,count,exact_values,1,26834,2245,24589,0.08366251770142356,0.10222164657838999
HHADULT,count,exact_values,2,55020,3227,51793,0.058651399491094144,0.20959361238514634
HHADULT,count,exact_values,3,15656,780,14876,0.049821154828819623,0.05964008715924848
HHADULT,count,exact_values,4,7319,322,6997,0.04399508129525891,0.027881055053560273
HHADULT,count,exact_values,5,2301,121,2180,0.05258583224684919,0.008765447148277386
HHADULT,count,exact_values,6,704,38,666,0.05397727272727273,0.0026818230301552714
HHADULT,count,exact_values,7,196,18,178,0.09183673469387756,0.0007466439118045926
HHADULT,count,exact_values,8,95,6,89,0.06315789473684211,0.0003618937327624301
HHADULT,count,exact_values,9,21,0,21,0.0,7.999756197906349e-05
HHADULT,count,exact_values,10,28,2,26,0.07142857142857142,0.00010666341597208466
HHADULT,count,exact_values,11,21,0,21,0.0,7.999756197906349e-05
HHADULT,count,exact_values,12,19,2,17,0.10526315789473684,7.237874655248601e-05
HHADULT,count,exact_values,13,13,1,12,0.07692307692307693,4.952230027275359e-05
HHADULT,count,exact_values,14,7,0,7,0.0,2.6665853993021166e-05
HHADULT,count,exact_values,15,7,0,7,0.0,2.6665853993021166e-05
HHADULT,count,exact_values,18,8,1,7,0.125,3.04752617063099e-05
HHADULT,count,exact_values,20,1,0,1,0.0,3.8094077132887377e-06
HHADULT,count,exact_values,21,1,0,1,0.0,3.8094077132887377e-06
HHADULT,count,exact_values,22,1,1,0,1.0,3.8094077132887377e-06
HHADULT,count,exact_values,23,1,0,1,0.0,3.8094077132887377e-06
HHADULT,count,exact_values,25,2,0,2,0.0,7.618815426577475e-06
HHADULT,count,exact_values,60,1,0,1,0.0,3.8094077132887377e-06
HHADULT,count,exact_values,77,95,8,87,0.08421052631578947,0.0003618937327624301
HHADULT,count,exact_values,99,242,17,225,0.07024793388429752,0.0009218766666158746
HHADULT,count,exact_values,<MISSING>,153915,16391,137524,0.10649384400480785,0.5863249881908361
GENHLTH,ordinal,exact_values,1,45464,919,44545,0.02021379553052965,0.17319091227695918
GENHLTH,ordinal,exact_values,2,86578,3657,82921,0.042239367968768045,0.3298109010011123
GENHLTH,ordinal,exact_values,3,81536,7531,74005,0.09236410910518053,0.31060386731071055
GENHLTH,ordinal,exact_values,4,34676,6662,28014,0.19212135194370747,0.13209502186600028
GENHLTH,ordinal,exact_values,5,13543,4309,9234,0.31817174924315145,0.051590808661069375
GENHLTH,ordinal,exact_values,7,457,69,388,0.15098468271334792,0.0017408993249729532
GENHLTH,ordinal,exact_values,9,252,33,219,0.13095238095238096,0.0009599707437487619
GENHLTH,ordinal,exact_values,<MISSING>,2,0,2,0.0,7.618815426577475e-06
PHYSHLTH,count,exact_values,1,10948,547,10401,0.049963463646328095,0.0417053956450851
PHYSHLTH,count,exact_values,2,14384,1016,13368,0.07063403781979978,0.0547945205479452
PHYSHLTH,count,exact_values,3,8477,772,7705,0.09106995399315795,0.03229234918554863
PHYSHLTH,count,exact_values,4,4544,494,4050,0.10871478873239436,0.017309948649184025
PHYSHLTH,count,exact_values,5,7385,839,6546,0.11360866621530129,0.028132475962637328
PHYSHLTH,count,exact_values,6,1277,197,1080,0.15426781519185592,0.004864613649869718
PHYSHLTH,count,exact_values,7,4673,477,4196,0.10207575433340467,0.01780136224419827
PHYSHLTH,count,exact_values,8,818,119,699,0.14547677261613692,0.0031160955094701875
PHYSHLTH,count,exact_values,9,201,28,173,0.13930348258706468,0.0007656909503710363
PHYSHLTH,count,exact_values,10,5397,828,4569,0.15341856586992775,0.02055937342861932
